customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,latitude,longitude,age,birth_day,has_loyalty_card,customer_lifetime,education_years,gender
22743,0.0,1.0,0.0,2.0,116514.99999999999,4371.0,22.0,1315.0,516.0,1449.0,1159.0,1599.0,824.9999999999999,596.0,486.0,88.0,0.0810881051436366,38.72387103559583,-9.16984205707767,72.0,9.0,1.0,15.0,4.0,0.0
20588,0.0,1.0,2.0,2.0,3667.0000000000005,19371.0,18.0,22.0,743.0,1067.0,909.0,573.0,587.0,834.0,460.0,115.0,0.1252208117731597,38.72453806929826,-9.197255798796268,68.0,14.0,0.0,8.6,4.0,1.0
5452,0.39999999999999997,0.0,1.0,2.0,5049.0,19449.0,9.0,596.0,578.0,682.0,714.0,1871.0,1034.0,197.0,202.0,454.0,0.5200502161874373,38.72278875078968,-9.123627362695007,38.0,15.0,1.0,12.0,9.0,1.0
17083,0.0,0.0,1.0,1.0,40164.0,18150.0,12.0,58.0,309.0,159.99999999999997,840.0,885.0,661.0,456.0,396.0,68.0,0.4170550008604772,38.71410150625084,-9.178628155829102,57.99999999999999,4.0,0.0,6.0,6.0,1.0
11278,0.0,0.0,3.0,1.0,22700.0,3631.0,21.0,89.99999999999999,347.0,554.0,844.0,775.0,78.0,1729.0,332.0,70.0,0.3570468403707205,38.77087210065244,-9.193799202633702,71.0,30.0,1.0,5.0,4.0,0.0
10873,1.0,1.0,0.0,3.0,24345.999999999996,11011.0,21.0,2697.0,490.99999999999994,1607.0,1260.0,2131.0,1229.0,533.0,449.0,161.0,0.0629792606602334,38.77461586919424,-9.153910087085114,29.6,18.200000000000003,1.0,12.0,17.0,1.0
17447,6.000000000000001,2.0,1.0,4.0,31685.0,6378.0,11.0,1131.0,1540.0,1521.0,1629.0000000000002,1569.0,470.0,437.0,103.0,275.0,0.1650111212369056,38.78000444125796,-9.153654984092396,58.99999999999999,29.0,1.0,13.0,4.0,0.0
97,0.0,0.6,2.0,1.0,14430.0,20313.0,13.0,217.00000000000003,513.0,732.0,616.0,629.0,230.99999999999997,776.0,18.0,46.0,0.1689411779668004,38.75445487007703,-9.144479883000155,75.0,10.0,1.0,13.0,4.0,1.0
28850,1.0,1.0,0.0,2.0,86373.0,8010.0,15.0,2568.0,485.0,1217.0,1009.0000000000001,614.0,520.0,846.0,524.0,110.0,0.1404496733931863,38.71605067523983,-9.1322425452423,42.0,9.0,1.0,8.0,9.0,1.0
34452,0.0,1.0,0.0,1.0,106998.0,6869.0,13.0,2212.0,490.0,1327.0,987.0000000000001,950.0,896.0,587.0,306.0,308.0,0.0440423132502768,38.76749848482411,-9.168957846512852,36.0,7.0,0.0,12.399999999999999,9.0,0.0
34164,3.0000000000000004,3.0,1.0,4.0,45490.0,3354.0,8.0,51.0,1547.0,960.0,1442.0,1653.8,960.0000000000001,276.0,518.0,476.0,0.2788508296964022,38.76557105466558,-9.178921386367607,23.0,13.0,0.0,5.3999999999999995,12.0,0.0
28913,0.0,1.0,1.0,2.0,9926.0,20084.999999999996,9.0,199.00000000000003,608.0,1110.0,707.0,762.0,38.0,847.0,609.0,49.0,0.2543454382047298,38.76496714588442,-9.169225591508305,29.0,5.0,0.0,7.799999999999999,12.0,0.0
15709,0.0,1.0,0.0,1.0,57850.0,6630.0,13.0,2528.0,439.99999999999994,1081.0,1392.0,2082.0,979.0,522.0,538.0,223.0,0.0683475999489403,38.76035239112751,-9.148470817566832,24.0,15.0,1.0,3.0,12.0,1.0
9985,0.0,2.0,0.0,3.0,15631.0,2630.0,8.0,1173.0,543.0,3431.0,1015.9999999999999,749.0,292.0,248.0,571.0,266.0,0.2164874330640115,38.73430963742987,-9.145638902527391,75.0,6.0,1.0,5.0,4.0,0.0
33046,1.0,0.0,0.0,2.0,16044.0,17043.0,8.0,1195.0,187.0,162.0,924.0,1943.0,818.0,281.0,98.0,145.0,0.7325226129713043,38.76198548200784,-9.186216538609784,54.99999999999999,10.0,0.0,9.200000000000003,6.0,1.0
33450,0.0,1.0,0.0,2.0,111609.0,3235.0,19.0,1128.0,567.0,1678.0,1536.0,1964.3999999999999,1300.0,696.0,349.0,153.0,0.0260250301500957,38.76358844116978,-9.065760105123797,53.99999999999999,19.0,0.0,14.600000000000001,6.0,1.0
10913,2.0,2.0,1.0,3.0,6288.0,6677.0,8.0,186.0,472.00000000000006,875.0,1143.0,1082.0,2950.0,472.0,393.0,201.0,1.0,38.75924084749267,-9.180977176726104,72.0,28.0,1.0,12.0,4.0,0.0
22252,1.0,1.0,2.0,4.0,12864.0,988.0,24.0,175.0,130.0,100.0,632.0,97.0,1021.0,317.0,282.0,94.0,0.5939499558728483,38.7832169381642,-9.154227181047895,44.0,5.0,1.0,26.0,6.0,0.0
14543,0.0,0.0,1.0,2.0,49930.0,10624.0,17.0,250.99999999999997,446.0,877.0,205.0,214.0,16.0,1998.0,107.0,156.0,0.2565580667941891,38.72469707888313,-9.202309699144228,28.0,28.0,1.0,7.0,12.0,0.0
27733,0.0,1.0,2.0,2.0,31172.0,17230.0,9.0,168.0,516.0,1296.0,965.0000000000001,667.0,104.0,833.0,365.0,159.0,0.3367213681868648,38.74658799284703,-9.159737865835382,80.0,10.0,0.0,5.0,4.0,1.0
29437,1.0,0.0,1.0,1.0,23095.0,21257.0,17.0,447.0,693.0,1406.0,1029.0,1538.0,323.0,1084.0000000000002,487.0,213.0,0.2853981539731588,38.71885399018024,-9.15636735767624,25.0,16.0,0.0,6.200000000000001,12.0,0.0
15793,1.0,0.0,1.0,2.0,22057.0,21164.0,9.0,794.0,488.0,497.0,1228.0,28.0,1232.0,846.0,455.0,330.0,0.4493371394226522,38.78305603038439,-9.194061899459909,68.0,3.0,0.0,10.200000000000001,4.0,1.0
38295,0.0,1.0,3.0,1.0,13609.0,19271.0,21.0,12.0,690.0,1212.0,1227.0,1223.8,380.0,812.0,331.0,116.0,0.2943605001725191,38.72402785410918,-9.17330230608422,41.0,1.0,0.0,6.199999999999999,9.0,0.0
18662,0.0,0.0,0.0,1.0,48288.0,13014.0,11.0,67.0,788.0,1087.0,1056.0,128.0,197.0,1662.0,424.0,51.0,0.3253055929147895,38.77642554887196,-9.147211139915251,40.0,8.0,1.0,10.0,9.0,1.0
36438,0.0,0.0,1.0,2.0,40246.0,10461.0,22.0,213.0,562.0,1279.9999999999998,735.0,1189.0,72.0,1823.0,394.0,216.0,0.3607259755342542,38.72988773620912,-9.18926920985267,77.0,18.0,0.0,10.2,4.0,0.0
27028,4.0,2.0,0.0,3.0,17009.0,5343.999999999999,9.0,1339.0,615.0,2845.9999999999995,1204.0,1442.0,595.0,516.0,445.0,337.0,0.138922947509853,38.75831104434213,-9.16345254114082,55.99999999999999,1.0,1.0,14.0,6.0,1.0
23320,0.0,1.0,0.0,1.0,20116.000000000004,5245.0,16.0,302.0,755.0,1193.0,1066.0,3492.0,670.0,631.0,522.0,240.0,0.2754040832339272,38.784413041884896,-9.166498895449903,35.0,18.0,1.0,14.0,9.0,0.0
31470,0.0,1.0,0.0,2.0,102213.0,5623.999999999999,9.0,2108.0,519.0,1443.0,1190.0,876.0,865.0,686.0,362.0,154.0,0.2224186777677343,38.76642592833724,-9.161242328671614,38.0,11.0,1.0,10.0,9.0,0.0
11946,0.0,1.0,0.0,4.0,110198.0,7417.0,17.0,631.0,567.0,1393.0,805.9999999999999,1575.0,737.0,535.0,658.0,96.0,0.0481509343476045,38.74051838389173,-9.131002749093923,25.0,15.0,1.0,3.0,12.0,0.0
11936,0.0,0.0,1.0,1.0,26414.000000000004,19665.0,19.0,258.0,698.0,1291.0,1595.0,579.0,80.0,1234.0,117.0,53.0,0.3382592468665361,38.76912800566486,-9.182001983182898,65.0,17.0,1.0,7.0,4.0,0.0
36943,0.0,0.0,1.0,2.0,44507.0,19510.0,15.0,520.0,588.0,384.0,1278.0,621.0,0.0,663.0,342.0,77.0,0.0365841844235025,38.71545587964823,-9.185936478432255,72.0,28.0,0.0,8.2,4.0,1.0
39738,0.0,0.0,1.0,1.0,3100.0000000000005,22912.0,8.0,714.0,13.0,214.0,786.0,110.0,347.0,583.0,523.0,78.0,0.4430511327177454,38.71298344326214,-9.127963027561666,80.0,6.0,0.0,7.0,4.0,1.0
30487,0.0,1.0,1.0,2.0,9808.0,4409.0,6.999999999999999,1331.0,947.9999999999999,2701.0,1386.0,1125.0,772.0,351.99999999999994,191.0,379.0,0.2127336845581805,38.716934114790064,-9.156812830873417,28.0,30.0,0.0,4.4,12.0,1.0
38723,3.0000000000000004,2.0,1.0,3.0,14666.000000000002,5195.0,8.0,174.0,25.0,756.0,726.0,1546.0,1029.0,436.0,475.0,609.0,0.141417447024069,38.74548283404206,-9.118855678810675,37.0,6.0,0.0,6.999999999999999,9.0,1.0
3901,1.0,0.0,1.0,1.0,12091.0,24806.0,9.0,1254.0,406.0,687.0,903.0,1000.0,1161.0,793.0,537.0,252.0,0.7360377379933021,38.738306478206006,-9.14384337579165,46.0,24.0,1.0,4.0,6.0,0.0
28430,1.0,0.0,0.0,1.0,55486.0,22999.0,13.0,597.0,488.0,734.0,1287.0,604.0,616.0,381.0,323.0,192.0,0.7005589523493644,38.72205880094439,-9.172503538532412,46.0,12.0,0.0,5.0,6.0,1.0
32615,0.0,0.0,1.0,1.0,19120.0,29.0,9.0,1356.0,510.0,1604.0,1530.0,3521.0,123.0,398.0,155.0,345.0,0.0,38.72274748162884,-9.213821633370683,27.0,10.0,0.0,7.3999999999999995,12.0,0.0
28039,1.0,3.0,1.0,5.000000000000001,41149.0,5041.0,11.0,1192.0,773.0,2789.0,1925.0,1568.0,931.0,380.0,379.0,499.0,0.0,38.74179645069686,-9.181681536333842,56.99999999999999,12.0,0.0,16.4,6.0,0.0
28789,0.0,0.0,1.0,1.0,6684.0,17867.0,9.0,28.0,677.0,0.0,1006.0,602.0,374.0,961.0,154.0,85.0,0.114321410451076,38.72653744888924,-9.143865343403906,61.0,22.0,0.0,7.800000000000001,4.0,0.0
12134,1.0,0.0,0.0,1.0,67472.0,24910.0,16.0,177.0,1079.0,93.0,1358.0,960.0,1085.0,626.9999999999999,42.0,162.0,1.0,38.77851204542955,-9.178425590404457,23.0,30.0,0.0,7.200000000000001,12.0,1.0
17087,2.0,2.0,2.0,3.0,13597.0,4657.0,13.999999999999998,1306.0,480.0,1457.0,2671.0,1740.0,543.0,378.0,483.0,493.0,0.2457482648026837,38.76298475241721,-9.176057132960937,39.0,21.0,1.0,13.0,9.0,0.0
15525,0.0,1.0,0.0,2.0,100802.00000000001,1403.0000000000002,17.0,1892.0,272.0,1565.9999999999998,840.0,921.0,1260.0,462.0,154.0,169.0,0.2233203688905442,38.77790541794849,-9.189953500124034,51.0,1.0,1.0,20.0,6.0,0.0
18714,0.0,0.0,1.0,2.0,11302.000000000002,17699.0,8.0,35.0,409.0,1054.0,594.0,298.0,417.99999999999994,899.0,140.0,91.0,0.2105991524473732,38.73265482168991,-9.193215558840087,74.0,22.0,1.0,10.0,4.0,1.0
12625,1.0,1.0,0.0,3.0,132381.0,5245.0,8.0,492.99999999999994,627.0,1561.0000000000002,742.0,2358.0,547.0,378.0,413.0,107.0,0.2173214015960461,38.76590483307405,-9.190357097513989,33.199999999999996,17.2,1.0,10.0,20.0,0.0
4284,1.0,0.0,1.0,2.0,12094.0,19412.0,13.0,654.0,611.0,763.0,526.0,185.0,502.99999999999994,437.0,97.0,411.0,0.7066407663962105,38.751678961869096,-9.150863439462205,24.0,2.0,1.0,2.0,12.0,0.0
9852,5.0,2.0,1.0,3.0,29844.0,4037.0000000000005,9.0,721.0,812.0,510.0,1573.0,1305.0,1333.0,272.0,928.0,441.0,0.1394135803672398,38.71501098648376,-9.192811775821363,55.99999999999999,8.0,1.0,24.0,6.0,0.0
7487,1.0,1.0,1.0,2.0,108611.0,6935.0,24.0,1319.0,487.00000000000006,1442.0,1548.0,1844.0,752.0,713.0,481.0,123.00000000000001,0.0267401058325131,38.71901477644465,-9.194508855834052,63.0,26.0,1.0,11.0,4.0,1.0
14541,0.0,0.0,1.0,2.0,59886.99999999999,17242.0,11.0,1082.0,392.0,1450.9999999999998,1415.0,1357.0,1342.0,465.0,34.0,292.0,0.2866907762478647,38.73248296099532,-9.123765851614497,60.0,4.0,0.0,11.2,4.0,0.0
17401,0.0,0.0,0.0,2.0,45532.0,29970.0,13.0,57.0,649.0,798.0,989.0000000000001,631.0,691.0,736.0,628.0,510.0,0.7825565343194626,38.71698848885622,-9.185163243159392,70.0,30.0,0.0,5.6,4.0,0.0
32454,0.0,0.0,1.0,2.0,18599.0,10316.0,21.0,192.0,132.0,995.0000000000001,802.0000000000001,1669.0,362.0,1649.0,487.0,117.0,0.1885253837689664,38.754446932963205,-9.145045312566722,60.0,22.0,0.0,8.0,4.0,1.0
28090,0.0,0.0,1.0,1.0,49540.0,19282.000000000004,15.0,68.0,483.99999999999994,865.0,750.0,1500.0,174.0,1503.0,223.0,30.0,0.0983839594332135,38.772878507551,-9.175933772865395,56.99999999999999,16.0,0.0,6.999999999999999,6.0,0.0
4750,0.0,2.0,1.0,1.0,35707.0,5747.0,8.0,333.0,732.0,1775.0,1186.0,1514.0,434.0,319.0,183.0,275.0,0.0908603823579092,38.71993003672826,-9.132457518035174,54.99999999999999,19.0,1.0,26.0,6.0,0.0
27060,0.0,1.0,0.0,3.0,103231.0,8858.0,13.999999999999998,1907.0,398.0,1365.0,1501.0,1937.0,643.0,581.0,386.0,129.0,0.2057512211112072,38.73689313692456,-9.133734551647748,58.99999999999999,6.0,1.0,10.0,4.0,0.0
27320,1.0,0.0,1.0,2.0,20933.0,17178.0,19.0,234.00000000000003,647.0,1376.9999999999998,812.0,307.0,131.0,1050.0,186.0,66.0,0.1841523475768355,38.770449203216366,-9.162081472528842,38.0,27.0,0.0,8.2,9.0,0.0
12469,0.0,1.0,2.0,2.0,6075.0,6534.0,13.0,78.0,499.00000000000006,0.0,1105.0,489.0,353.0,1807.0,511.0,114.0,0.2298869603559714,38.7305310782147,-9.1448273847757,25.0,16.0,1.0,6.0,12.0,0.0
30411,0.0,0.0,0.8,1.0,56179.0,25879.0,19.0,1106.0,299.0,31.0,548.0,686.0,412.0,572.0,78.0,102.0,0.7524853104240297,38.74266168488298,-9.16663184224426,38.0,6.0,0.0,6.0,9.0,0.0
9226,1.0,0.0,0.0,2.0,24750.0,18866.0,17.0,1194.0,468.0,37.0,585.0,1110.0,199.0,53.99999999999999,380.0,473.00000000000006,0.3040589223306777,38.76885144679422,-9.18925460741025,62.0,19.0,1.0,4.0,4.0,0.0
867,1.0,0.0,0.0,1.0,11510.0,21448.0,20.000000000000004,212.0,425.0,400.0,1315.0,841.0,705.0,188.0,380.0,273.0,0.4834897455510903,38.71898333546275,-9.16743005360858,51.0,12.0,1.0,4.0,6.0,1.0
28608,0.0,0.0,2.0,1.0,22208.0,22138.0,21.0,103.0,757.0,949.0000000000001,785.0,1227.0,68.0,1436.0,189.0,61.99999999999999,0.2334155957943009,38.73033692604508,-9.18390223171058,44.0,16.6,0.0,9.2,7.2,0.0
16349,0.0,0.0,0.0,2.0,22575.0,16757.0,9.0,395.0,473.99999999999994,1066.0,861.0,768.0,444.99999999999994,1738.0,349.0,226.0,0.3485475243300494,38.75534697383811,-9.189887471587676,47.0,1.0,1.0,6.0,6.0,0.0
11667,2.0,3.0,0.0,5.000000000000001,10860.999999999998,3129.0,10.000000000000002,1694.0,667.0,2598.0,1824.0,1758.0,597.0,409.0,51.0,247.99999999999997,0.0306343804105681,38.75506411163728,-9.147266601469068,43.0,16.0,1.0,10.0,9.0,0.0
25377,0.0,1.0,1.0,1.0,18295.0,14008.0,15.0,215.0,123.0,970.0,1048.0,56.0,233.00000000000003,1704.0,568.0,144.0,0.1344563458198235,38.7284015556911,-9.17397774010282,79.0,20.0,0.0,9.4,4.0,0.0
16288,0.0,1.0,0.0,3.0,86647.0,6127.0,23.0,3530.0,827.0,1699.9999999999998,1369.0,874.0,708.0,781.0000000000001,328.0,212.0,0.1386004685885885,38.77386044913412,-9.153211780427196,26.0,24.0,1.0,4.0,12.0,1.0
31542,0.0,0.0,1.0,1.0,29477.0,18614.0,21.0,322.0,567.0,1202.0,1033.0,780.0,461.99999999999994,1102.0,266.0,140.0,0.3263384087095531,38.76292307192188,-9.1768107213489,66.0,30.999999999999996,0.0,7.599999999999999,4.0,0.0
25316,1.0,1.0,0.0,3.0,104760.0,7954.0,13.0,740.0,357.0,1547.0,1705.0,2855.0,1198.0,751.0,313.0,185.0,0.0498328580219115,38.72371923707189,-9.196323462050032,71.0,6.0,1.0,17.0,4.0,1.0
26526,0.0,1.0,2.0,2.0,37682.0,7877.0,12.0,123.0,219.00000000000003,1185.0,636.0,861.0,193.0,1836.0,148.0,69.0,0.1796745664023752,38.72025250404289,-9.16294190711966,53.99999999999999,10.0,0.0,8.0,6.0,0.0
1954,2.0,2.0,1.0,6.000000000000001,31383.0,3689.0,10.000000000000002,1689.0,1193.0,2958.0,1872.0,2263.0,458.99999999999994,375.0,20.0,425.0,0.0481796892335804,38.765607440349406,-9.190561296567866,63.0,26.0,1.0,17.0,4.0,0.0
39392,0.0,0.0,0.0,1.0,3699.0,8106.0,13.999999999999998,103.0,368.0,347.0,810.0,841.0,259.0,1610.0,448.0,221.0,0.3832442142819924,38.73292429684869,-9.194654329539418,42.0,4.0,0.0,8.000000000000002,9.0,0.0
34771,0.0,0.0,1.0,2.0,22968.0,134.0,9.0,2744.0,671.0,1947.0,2537.0,1626.0,434.0,14.0,288.0,418.0,0.0345033482916862,38.72260451121209,-9.213011329934004,46.0,11.0,0.0,11.4,6.0,1.0
13732,0.0,0.0,1.0,1.0,31221.0,19827.0,15.0,506.0,614.0,397.0,955.0,1020.0,514.0,418.0,586.0,201.0,0.7956774278425007,38.74719091653916,-9.168141427607074,28.999999999999996,19.0,0.0,4.4,17.0,1.0
36574,0.0,0.0,0.0,2.0,56347.0,54.0,6.999999999999999,2877.0,974.9999999999999,2816.0,1755.0,2302.0,90.0,121.0,132.0,753.0,0.0393435302116243,38.72403933789978,-9.21387074878294,75.0,1.0,0.0,13.000000000000002,4.0,1.0
28564,1.0,1.0,0.0,2.0,108844.00000000001,5809.0,13.999999999999998,1835.8,514.0,1436.0,1472.0,1600.0,1192.0,456.0,506.00000000000006,144.0,0.0,38.77661291326456,-9.185147511268696,57.99999999999999,25.0,1.0,15.0,6.0,1.0
24082,0.0,0.0,2.0,1.0,13826.0,11660.0,18.0,297.0,731.0,1203.0,555.0,1378.0,23.0,1830.0,385.0,101.0,0.3072239564938234,38.71883243844249,-9.192627930353895,44.0,4.0,0.0,7.3999999999999995,6.0,0.0
2186,0.0,1.0,1.0,2.0,28121.0,17373.0,9.0,98.99999999999999,304.0,1565.0,1031.0,1020.0,12.0,813.0,446.0,268.0,0.2945788689353341,38.73728180917102,-9.146746377758996,34.0,24.0,1.0,4.0,9.0,1.0
18632,1.0,0.0,1.0,2.0,5713.0,19568.0,20.000000000000004,815.0,547.0,849.9999999999999,1207.0,1279.0,1180.0,1023.0,435.0,433.0,1.0,38.76023702720972,-9.131149602462846,61.0,7.0,0.0,5.2,4.0,0.0
14665,0.0,0.0,0.0,2.0,8178.0,19962.0,9.0,170.0,354.0,979.0000000000001,1138.0,713.0,183.0,1455.0,219.0,171.0,0.2032203476000775,38.77421400111962,-9.157626068599946,64.0,20.0,1.0,13.0,4.0,0.0
22049,1.0,1.0,0.0,2.0,115823.0,7917.999999999999,13.0,2182.0,439.99999999999994,1220.0,1495.0,1596.0,1722.0000000000002,825.0,445.0,136.0,0.0633426793467276,38.77885204493818,-9.160993724482854,56.99999999999999,22.0,1.0,12.0,6.0,1.0
5449,0.0,1.0,0.0,1.0,100800.0,6211.000000000001,10.000000000000002,598.0,444.0,1493.0,1464.0,1911.0,1329.0,762.0,652.0,114.0,0.0,38.71262666046411,-9.156085103589264,25.0,17.0,1.0,3.0,12.0,1.0
16978,1.0,1.0,0.0,1.0,104319.0,7401.0,12.0,14.0,419.0,1561.0000000000002,1731.0,1826.0,495.99999999999994,526.0,247.0,58.0,0.1570411035009241,38.73401673838683,-9.11428087547542,21.0,7.0,1.0,0.0,12.0,0.0
16233,1.0,0.0,1.0,3.0,8223.0,3939.0,12.0,2545.0,449.99999999999994,415.0,37.0,83.0,1084.0,217.0,341.0,134.0,0.1145671259487403,38.7143491219716,-9.15442687721411,78.0,23.0,1.0,9.0,4.0,0.0
1943,0.0,1.0,0.0,2.0,103693.0,4208.0,13.999999999999998,1653.0,558.0,747.0,1438.0,1899.0,114.00000000000001,798.0000000000001,489.0,195.0,0.1945562308200265,38.75523178496301,-9.0877978839023,83.0,16.0,1.0,14.0,4.0,1.0
4694,4.0,2.0,1.0,3.0,11684.0,4204.0,8.0,1101.0,1049.0,2723.0,943.9999999999999,2343.0,1127.0,550.0,717.0,461.0,0.2966239729829644,38.75630463163036,-9.12404561837168,77.0,9.0,1.0,9.0,4.0,1.0
39635,0.0,0.0,1.0,1.0,16518.0,177.0,10.000000000000002,445.0,827.0,2614.0,2173.0,1469.0,802.0,23.0,122.0,312.0,0.137403639201705,38.72343592908783,-9.21335542569216,66.0,25.0,0.0,14.600000000000001,4.0,0.0
12200,0.0,1.0,0.0,2.0,46353.0,11290.0,15.0,218.0,510.0,1256.9999999999998,1565.0,3232.0,464.0,535.0,156.0,160.0,0.2229080993009579,38.76309176804676,-9.107984263834371,58.99999999999999,21.0,1.0,18.0,4.0,1.0
34539,0.0,0.0,0.0,1.0,10196.0,18367.0,12.0,41.0,403.0,1028.0,581.0,855.0,48.0,1148.0,202.0,97.0,0.4077183387167752,38.72759353103618,-9.186278588889738,65.0,5.0,0.0,8.600000000000001,4.0,1.0
