customer_id,cluster
29930,2
6813,4
39451,2
21557,3
16415,9
22853,1
994,1
28952,4
11845,7
25774,8
11303,2
24143,3
29221,1
37216,8
35596,2
13243,4
19854,7
11783,2
17858,7
39157,4
6849,2
28504,9
7243,2
1818,1
20841,3
27141,2
31744,3
6247,9
4864,2
33104,6
22380,4
732,2
37565,9
22169,2
21785,7
2327,7
1026,3
15291,9
12996,7
22279,3
36763,2
7209,2
7272,1
32875,1
26267,2
10438,2
21417,4
29181,3
386,9
39780,9
22009,7
10247,7
26516,4
26744,9
37593,2
25965,3
2196,2
12775,4
14798,4
27848,8
1843,4
16063,8
7897,1
14927,8
6448,2
23752,2
23441,4
35665,1
1810,2
14849,8
2728,9
296,9
34009,9
35994,2
24587,2
34269,4
13150,9
254,1
25752,2
38721,2
38092,4
13583,1
34266,2
30802,2
37533,4
3129,7
7597,8
37570,9
17486,9
20612,2
23799,2
28915,8
7349,4
37849,1
30861,7
15061,2
28653,7
27865,9
1654,7
33916,4
13147,4
9297,5
5705,2
21609,4
37091,9
2098,4
35931,1
35591,8
23259,8
1034,1
2316,1
25405,2
21567,8
32458,3
29757,3
16931,8
24612,9
3703,7
24976,1
23280,1
33686,3
18825,1
37869,7
31802,2
12295,8
19774,1
9032,4
2675,2
2021,1
39263,9
4624,8
37056,9
13735,4
35999,5
14218,4
13720,3
22895,8
10996,1
37137,4
3259,4
32390,2
22044,2
30067,1
21789,2
3252,8
20057,3
27605,1
24499,9
3580,7
4067,1
24726,4
21035,8
23900,1
38965,7
34247,8
9459,4
28668,9
15367,2
26055,1
27204,3
22483,1
15991,4
2605,6
36586,6
29670,8
37857,7
24392,7
31953,2
18809,4
17178,4
7117,8
8685,2
8532,3
8832,9
36529,2
27389,2
11592,2
19458,7
30456,4
17953,8
2527,4
2741,8
37625,4
22619,3
14189,9
25389,2
39820,3
11614,4
15549,3
13993,9
17057,2
39770,1
18875,9
28966,8
34370,5
5822,1
3454,5
508,1
25442,6
10500,4
33566,8
11416,2
26747,7
6349,9
13848,1
482,2
36828,7
33356,4
25805,3
19117,2
39410,1
2212,9
36761,2
32882,2
32599,2
20272,3
25401,4
18638,2
1119,2
34299,2
18622,5
16720,2
1604,7
28671,1
19420,8
12840,9
30480,4
10171,2
38918,8
11460,4
38371,8
19532,9
27977,1
18,7
37007,4
7289,1
32154,8
34084,2
19624,4
17144,8
18354,1
15411,5
34379,4
17759,4
10841,1
11151,3
2870,8
12888,8
38511,4
12201,2
37273,1
18824,8
14166,7
33778,4
14395,9
28015,2
19960,9
21929,4
21439,1
4164,2
30679,9
19247,8
12518,9
5082,2
10458,8
34621,3
32547,2
26781,1
23006,6
11496,2
30006,1
23251,7
25553,2
8293,4
33290,2
20372,1
31617,1
39577,7
12811,2
30522,2
14962,4
8864,7
1932,3
36564,9
13975,1
27867,8
21894,1
26193,9
20564,4
32050,3
3907,2
16084,7
18379,7
4814,4
23484,9
3431,8
18806,7
15794,4
8199,2
17203,2
26400,9
12897,2
31443,4
1738,9
20725,9
15522,3
33443,1
21924,8
33359,8
28256,2
4395,2
9394,3
23989,8
4099,7
17594,3
14850,1
32933,4
6845,8
13585,3
37239,3
15187,2
1454,1
31712,1
38438,4
24564,3
26811,3
1859,8
22997,1
10156,4
3244,2
2462,8
32301,2
32295,4
30924,1
22627,8
23493,4
38889,9
240,7
33923,4
7249,1
9978,4
39629,7
32620,4
27561,7
7205,8
26101,3
28944,1
34250,3
20081,5
12514,8
23200,5
4793,1
29715,9
31687,6
23899,2
18980,2
27666,4
12747,2
37495,4
10138,3
18583,1
38388,4
16889,4
8303,9
21153,3
29253,1
14662,9
4267,1
1085,7
21556,4
6616,5
35639,9
2176,7
35448,4
7600,4
20645,1
22055,7
22999,1
16996,9
21322,1
19076,8
10195,4
18562,4
450,4
9906,4
39993,9
11122,3
13668,1
30083,9
31246,3
2962,8
10550,1
12895,8
2921,2
31921,1
13180,6
12804,8
19501,9
16302,6
39636,1
38105,2
11038,9
12095,9
6844,1
39275,9
11941,9
31819,8
30864,8
31426,7
37358,1
5470,9
2983,8
5594,2
33890,6
37938,5
11295,4
33172,1
20328,2
40,2
39188,6
7137,2
31733,2
19528,1
1381,2
2882,1
34795,8
24950,8
24083,8
3722,8
32526,9
28484,1
17499,4
30636,2
7728,8
23020,3
15742,8
22901,1
9586,9
37986,9
30808,4
12605,1
17193,1
18191,4
28450,8
31811,4
2909,9
13075,8
15152,1
7458,2
34708,3
26281,4
26814,1
1308,4
29518,8
2,1
4394,5
32946,1
23380,4
34162,9
18276,9
13247,4
3003,9
13097,8
19571,9
927,4
15897,7
29692,2
6611,4
15851,9
28453,2
15247,2
17819,4
36677,9
20418,8
6733,5
35019,7
5520,2
6899,4
32479,4
6668,3
27606,1
24879,9
10544,2
31411,4
23991,9
28298,9
7923,1
33507,3
15119,2
8496,3
34930,8
5081,7
2109,1
23279,8
17481,4
13590,7
36629,4
31807,9
14994,9
4886,7
35815,2
34700,9
